index,anon_id,year,bulk_density,sand,silt,clay,slaking_index,om_perc,ph,p_lb_a,cec_meq_100g,ca_lb_a,mg_lb_a,k_lb_a,zn_ppm,fe_ppm,mn_ppm,cu_ppm,b_ppm,so4_ppm,total_plfa_nmol_p_g_soil,am_fungi,gram_negative,eukaryote,fungi,gram_positive,actinomycetes
52,J,2022,1.221583993,22.5,60,17.5,1.10678,3.7,5.9,14,10.7,2779,329,315,0.8,26.2,41.7,0.47,0.33,1.849,102.245,3.91,34.428,1.747,2.041,22.29,13.438
109,J,2023,1.221583993,22.5,60,17.5,0.74,5,5.8,18,13.2,3107,456,385,1,44.2,37.5,0.51,0.47,2.58,198.57,7.585,67.62,4.019,2.395,44.711,24.854
53,J,2022,0.96039447,25,50,25,0.69619,4.1,6.3,10,13.3,3698,506,347,0.9,19.1,46.5,0.61,0.45,2.259,133.715,4.347,46.078,2.456,1.962,30.152,20.141
110,J,2023,0.96039447,25,50,25,1,4.9,6,19,16.1,4328,587,292,1.4,55.1,53.4,0.9,0.35,2.227,205.004,6.766,71.548,3.519,3.015,44.654,28.715
54,J,2022,1.227227024,20,65,15,1.13547,3.6,6.1,19,10.7,2916,356,368,0.8,26.3,47.7,0.47,0.4,1.811,112.423,4.089,37.297,2.104,1.993,25.15,15.873
111,J,2023,1.227227024,20,65,15,0.73,3.9,5.7,26,11.4,2642,335,282,1.1,59.8,52.8,0.7,0.5,1.515,187.107,7.288,61.874,4.919,2.864,41.142,23.67
55,S,2022,1.467246473,42.5,35,22.5,1.56733,4.2,7.2,10,16,5363,523,329,1.7,35.5,9.6,1.68,0.21,27.661,86.571,3.448,28.398,2.322,2.833,17.257,9.298
112,S,2023,1.467246473,42.5,35,22.5,1.04,2.6,6.8,2,15.7,4970,682,304,1.7,61.2,15.6,2.22,0.09,16.035,85.46,3.523,24.324,2.695,2.342,16.7,9.688
56,S,2022,1.270918535,45,32.5,22.5,2.17623,3.5,7.2,6,13.8,4394,575,303,1.5,26.4,7,2.58,0.15,22.105,95.73,4.208,31.565,2.457,3.414,18.486,10.009
113,S,2023,1.270918535,45,32.5,22.5,1.38,2.1,7.1,2,16.6,5059,851,306,1.1,37.2,11,2.81,0.18,29.556,84.322,3.44,25.113,2.002,1.886,16.906,10.137
57,S,2022,1.608607009,45,35,20,3.51783,2.6,7.4,6,14.6,4773,559,298,1.1,21.5,6.3,2.1,0.16,8.089,76.902,3.288,24.265,2.046,3.234,14.939,7.809
114,S,2023,1.608607009,45,35,20,1.09,2.9,7.1,2,26,8833,864,278,1.5,41.6,12.8,2.54,0.59,54.809,111.69,4.703,34.065,2.488,2.972,22.882,12.985
58,E,2022,1.349611813,22.5,62.5,15,0.6471,5,5.6,15,10.6,2229,366,390,2.1,57.7,26.5,0.46,0.6,2.681,131.26,4.675,46.828,2.888,1.689,29.208,16.994
115,E,2023,1.349611813,22.5,62.5,15,0.29,5.9,5.7,15,13.9,3075,498,524,1.3,72.5,45.4,0.65,0.81,2.681,256.042,10.683,93.584,5.369,2.764,54.072,31.257
59,E,2022,1.411321194,27.5,62.5,10,0.7164,4.4,6,13,10.2,2386,445,318,0.8,36,28,0.35,0.51,4.845,151.94,6.199,55.775,3.589,2.426,31.019,20.849
116,E,2023,1.411321194,27.5,62.5,10,0.68,4.6,6.3,32,12.3,2969,605,301,1,73,36.6,0.5,1.58,2.384,194.743,7.735,67.792,3.28,1.713,42.054,27.403
60,E,2022,1.218014253,22.5,67.5,10,0.88498,4.4,6.4,11,9.1,2484,348,351,0.6,35,23.6,0.3,0.8,2.251,107.261,4.197,39.321,2.311,1.349,21.67,13.42
117,E,2023,1.218014253,22.5,67.5,10,0.57,5.4,6.1,22,12.4,3189,506,278,0.9,62.8,28.4,0.44,0.88,1.899,211.684,8.438,75.43,4.317,3.648,44.411,27.548
